"","RAZAO_SOCIAL","ENDERECO","BAIRRO","BANDEIRA","PRECO_VENDA","PRECO_COMPRA","MODALIDADE_DE_COMPRA","FORNECEDOR","DATA_COLETA","CIDADE","UF","COMBUSTIVEL"
"417","Posto Imperial Bracuí Tda.","Rodovia Mário Covas, S/n Km 113","Bracuí","RAIZEN",2.74,NA,"-","-","13/09/2016","ANGRA DOS REIS","RJ","Etanol"
"418","Imperial Angra Auto Posto Ltda","Rua das Palmeiras, 210","Parque das Palmeiras","RAIZEN",3.39,NA,"-","-","13/09/2016","ANGRA DOS REIS","RJ","Etanol"
"419","Auto Posto Lacasema Ltda","Avenida Almte Jair Carneiro Toscano de Brito, 417","Parque das Palmeiras","RAIZEN",3.398,NA,"-","-","13/09/2016","ANGRA DOS REIS","RJ","Etanol"
"420","Posto Praia da Ribeira Ltda","Rodovia Br 101, S/n Km 487,8 - Lado Esquerdo","Belem Tq. da Japuiba","PETROBRAS DISTRIBUIDORA S.A.",3.498,3.013,"CIF","-","13/09/2016","ANGRA DOS REIS","RJ","Etanol"
"421","Auto Posto Japuíba Ltda.","Rodovia Governador Mário Covas, S/n Km 96 + 400","Japuiba","IPIRANGA",3.499,3.007,"CIF","-","13/09/2016","ANGRA DOS REIS","RJ","Etanol"
"422",",gecylandia Auto Serviço Ltda","Rodovia Amaral Peixoto, S/n Km 94","Iguabinha","BRANCA",2.59,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"423","Posto Atlântico de Praia Seca Ltda","Rua D Rod. Cabo Frio Km 13 Lote 272 Q. 20, S/n","Praia Seca","BRANCA",2.739,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"424","Posto de Combustível Capri Lagos Ltda.","Rodovia Amaral Peixoto, 90130","Vila Capri","BRANCA",2.789,2.4,"FOB","ZEMA","14/09/2016","ARARUAMA","RJ","Etanol"
"425","Garcia Tinoco Comércio de Combustíveis Ltda.","Rodovia Amaral Peixoto, S/n Loteamento Novo Horizonte, Lotes 01 A 07","Parati","BRANCA",2.794,2.575,"CIF","RAIZEN","14/09/2016","ARARUAMA","RJ","Etanol"
"426","Posto Tres Amigos Ltda","Rodovia Rio Bonito Araruama, S/n Km    35","Itatiquara","BRANCA",2.799,2.41,"CIF","RODOPETRO","14/09/2016","ARARUAMA","RJ","Etanol"
"427","Mataruna Auto Posto Ltda.","Praca Ary Parreiras, S/n","Centro","IPIRANGA",2.799,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"428","Silva & Abrantes Ltda","Rua Oscarino P. de Andrade, 10","Sao Vicente de Paula","BRANCA",2.95,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"429","Auto Posto 151 Ltda","Avenida John Kennedy, 220","Centro","IPIRANGA",2.988,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"430","Bellas & Barcelos Ltda.","Rodovia Amaral Peixoto, S/n Km 86","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.99,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"431","Centro Automotivo Praia dos Coqueiros","Rodovia Amaral Peixoto, 90031 Km 88","Praia dos Coqueiros","PETROBRAS DISTRIBUIDORA S.A.",2.99,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"432","Auto Posto Pontocom Ltda","Avenida Getúlio Vargas, 1320","Centro","PETROBRAS DISTRIBUIDORA S.A.",2.99,NA,"-","-","14/09/2016","ARARUAMA","RJ","Etanol"
"433","Posto Zambeli Ltda","Rua Jose Alves Pimenta, 1616","Matadouro","BRANCA",2.999,NA,"-","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"434","Posto Belvedere da Taquara Ltda.","Rodovia Lucio Meira Br 393, S/n Km 255,7","Belvedere","BRANCA",2.999,2.39,"CIF","RODOPETRO","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"435","Posto de Gasolina Estação 3 Estrelas Ltda.","Rodovia Lúcio Meira Br 393, S/nº Km 269","Dorandia","BRANCA",3.099,2.808,"CIF","ALE COMBUSTÍVEIS","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"436","Posto Belvedere da Barra Ltda","Rodovia Lucio Meira - Br 393, S/n Km 255,6","Belvedere da Taquara","PETROBRAS DISTRIBUIDORA S.A.",3.3,NA,"-","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"437","Posto de Combustiveis Gomes Figueiredo Ltda - Epp.","Rua Franklin de Moraes, S/n Area A Box 1e2 80a Area B 80 B","Centro","PETROBRAS DISTRIBUIDORA S.A.",3.39,2.763,"CIF","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"438","Posto de Combustiveis Jalisco Ltda","Rua Angelica, 127","Centro","RAIZEN",3.39,NA,"-","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"439","Postos Colorado Ltda","Rua Luiz Barbosa, 411","Matadouro","RAIZEN",3.399,NA,"-","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"440","Posto Nova Barra Ltda.","Avenida Prefeito Arthur Costa, 550","Muqueca","PETROBRAS DISTRIBUIDORA S.A.",3.399,NA,"-","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"441","Matagal Auto Posto Ltda","Estrada Rj 137, 11006 0","Ipiabas","IPIRANGA",3.5,3.234,"CIF","-","13/09/2016","BARRA DO PIRAI","RJ","Etanol"
"442","Posto São Francisco de Assis Ltda.","Avenida Presidente Kennedy, 2457","Ano Bom","BRANCA",2.979,2.679,"CIF","RODOPETRO","15/09/2016","BARRA MANSA","RJ","Etanol"
"443","Auto Posto Barra do Vale Ltda.","Avenida Presidente Kennedy, 3601","Ano Bom","BRANCA",2.999,NA,"-","-","13/09/2016","BARRA MANSA","RJ","Etanol"
"444","Posto Monte Cristo Ltda","Rodovia Presidente Dutra, 9 Km 271","Monte Cristo","RAIZEN",3.19,2.685,"CIF","-","13/09/2016","BARRA MANSA","RJ","Etanol"
"445","Posto de Abastecimento de Combustiveis Vila Nova Ltda","Rua Major Jose Bento, 2137","Vila Nova","BRANCA",3.199,2.638,"CIF","ALE COMBUSTÍVEIS","14/09/2016","BARRA MANSA","RJ","Etanol"
"446","Auto Posto Trevo do Amparo Ltda - Epp","Rua Ary Kerner Thomas da Costa, 102","Amparo","BRANCA",3.3,NA,"-","-","13/09/2016","BARRA MANSA","RJ","Etanol"
"447","Posto Santa Clara de Barra Mansa Abast. de Combust Ltda","Rodovia Saturnino Braga, 800","Santa Clara","BRANCA",3.35,NA,"-","-","13/09/2016","BARRA MANSA","RJ","Etanol"
"448","Posto Boa Vista Bm Ltda","Avenida Tres de Outubro, 20 e 28","Centro","BRANCA",3.399,NA,"-","-","13/09/2016","BARRA MANSA","RJ","Etanol"
"449","Posto Piga 2000 Ltda","Avenida Tres de Outubro, 411","Jardim Boa Vista","BRANCA",3.399,NA,"-","-","15/09/2016","BARRA MANSA","RJ","Etanol"
"450","Posto Ojm Ltda","Rua Ary Fontenelle, 353 e Av D Aragao 187","Cento","PETROBRAS DISTRIBUIDORA S.A.",3.499,NA,"-","-","15/09/2016","BARRA MANSA","RJ","Etanol"
"451","Posto Bocaininha Ltda","Avenida Ministro Amaral Peixoto, 800","Bocaininha","IPIRANGA",3.499,2.962,"CIF","-","15/09/2016","BARRA MANSA","RJ","Etanol"
"452","Aliança Serve Bem Comércio de Combustível Ltda","Avenida Francisco Villela de Andrade Neto, 224","Centro","BRANCA",3.499,NA,"-","-","15/09/2016","BARRA MANSA","RJ","Etanol"
"453","Organizaçao Tupy Ltda","Avenida Domingos Mariano, 510","Centro","CBPI",3.699,NA,"-","-","13/09/2016","BARRA MANSA","RJ","Etanol"
"454","Auto Posto São Jorge de Belfor Roxo Ltda","Avenida Benjamin Pinto Dias, 1131","Centro","BRANCA",2.799,2.39,"FOB","RODOPETRO","13/09/2016","BELFORD ROXO","RJ","Etanol"
"455","Posto Providencia Ltda","Avenida Joaquim da Costa Lima, 2999","Santa Amélia","ALESAT",2.899,2.38,"FOB","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"456","Posto de Gasolina Dinnei Ltda","Avenida Heliópolis, 447","Heliópolis","BRANCA",2.899,2.38,"FOB","RODOPETRO","13/09/2016","BELFORD ROXO","RJ","Etanol"
"457","Carrefour Comercio e Industria Ltda","Avenida Jorge Júlio Costa dos Santos, 200","Centro","RAIZEN",2.899,NA,"-","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"458","Auto Posto Babilônia I Ltda.","Avenida Benjamin Pinto Dias, 1536","Centro","ALE COMBUSTÍVEIS",2.989,NA,"-","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"459","Auto Posto de Serviços Belroxo 1 Ltda.","Avenida José Mariano dos Passos, 1725","Centro","BRANCA",2.999,2.553,"FOB","PETROBRAS DISTRIBUIDORA S.A.","13/09/2016","BELFORD ROXO","RJ","Etanol"
"460","Posto de Gasolina São Sebastião de Belford Roxo Ltda","Avenida José Mariano dos Passos, 1089 0","Centro","RAIZEN",2.999,2.661,"CIF","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"461","Auto Posto Santorini Ltda.","Rodovia Presidente Dutra, 10726","Rocha Sobrinho","RAIZEN",2.999,2.619,"FOB","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"462","Posto Arla Ltda","Avenida Automovel Clube, 2530","Wona / Lote Xv","BRANCA",3.099,NA,"-","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"463","Posto de Gasolina Josi Ltda","Estrada Retiro da Imprensa, 1820","Heliópolis","IPIRANGA",3.299,2.836,"CIF","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"464","Posto de Gasolina do Capitão de Belford Roxo Ltda","Avenida Jorge Júlio Costa dos Santos, 350","Centro","PETROBRAS DISTRIBUIDORA S.A.",3.598,2.592,"CIF","-","13/09/2016","BELFORD ROXO","RJ","Etanol"
"465","Petrolagos Comercial de Combustivel Ltda","Avenida America Central, 2431","Praia do Siqueira","PETROBRAS DISTRIBUIDORA S.A.",3.17,NA,"-","-","14/09/2016","CABO FRIO","RJ","Etanol"
"466","Posto Itajuru de Cabo Frio Ltda","Avenida Julia Kubstchek, 3","Centro","RAIZEN",3.19,NA,"-","-","14/09/2016","CABO FRIO","RJ","Etanol"
"467","Posto do Cabo Ltda","Avenida America Central, 2270","Praia do Siqueira","PETROBRAS DISTRIBUIDORA S.A.",3.294,NA,"-","-","14/09/2016","CABO FRIO","RJ","Etanol"
"468","Mineiro de Cabo Frio Comércio de Combustíveis Ltda.","Avenida Teixeira e Souza, 659","Vila Nova","RAIZEN",3.298,2.536,"FOB","-","14/09/2016","CABO FRIO","RJ","Etanol"
"469","Posto de Combustiveis Salinas Ltda","Avenida Joaquim Nogueira, 1600","São Cristóvão","IPIRANGA",3.299,2.896,"FOB","-","14/09/2016","CABO FRIO","RJ","Etanol"
"470","Posto Aquarius de Cabo Frio Ltda","Rodovia Amaral Peixoto, S/n Km 135","Aquarius","BRANCA",3.299,NA,"-","-","14/09/2016","CABO FRIO","RJ","Etanol"
"471","Portal das Dunas Combustiveis Ltda","Avenida Teixeira e Souza, 2677","Braga","PETROBRAS DISTRIBUIDORA S.A.",3.398,NA,"-","-","14/09/2016","CABO FRIO","RJ","Etanol"
"472","Canal da Lagoa Empreendimentos Ltda","Estrada dos Passageiros, 100","Jacare","PETROBRAS DISTRIBUIDORA S.A.",3.398,2.625,"FOB","-","14/09/2016","CABO FRIO","RJ","Etanol"
"473","Posto de Combustíveis Rodovia do Sol Ltda.","Estrada Lourival Martins Beda, 1165/1167","Varanda do Visconde","BRANCA",2.57,2.42,"CIF","RODOPETRO","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"474","W. Teles Moreira Combustíveis - Me","Estrada Poço Gordo, 67/69","Poço Gordo","BRANCA",2.59,2.42,"CIF","RODOPETRO","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"475","Comércio de Combustíveis Universo de Campos Ltda.","Avenida Alberto Lamego, 700","Parque Horto","BRANCA",2.599,2.39,"FOB","RODOPETRO","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"476","Alcino Melo Combustíveis","Rua José Pereira das Chagas, 3","Tocos - 17 Distrito","BRANCA",2.75,2.43,"CIF","RODOPETRO","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"477","J J Manhaes","Avenida Francisco Gomes de Freitas, S/n 0","Mineiros - 2º Distrito de Campos","BRANCA",2.77,2.511,"CIF","ZEMA","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"478","Posto de Combustíveis Gomes e Nogueira Ltda.","Rodovia Campos Farol de São Tomé, S/n Frente","Saturnino Braga","BRANCA",2.8,2.648,"CIF","RODOPETRO","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"479","Posto de Comb. Goitacaz de Campos Ltda","Rua dos Goitacazes, 607","Centro","BRANCA",2.899,2.824,"FOB","DPPI","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"480","E. H. Almeida Comércio de Combustíveis Ltda.","Rua Caldas Viana, 679","Parque Flamboyant","BRANCA",2.899,2.824,"FOB","DPPI","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"481","Palladium Comércio Varejista de Combustivies Ltda - Me","Estrada Campos Santo Amaro, S/n Km 12 Rodovia Rj- 216","Centro","BRANCA",2.899,2.588,"CIF","RAIZEN","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"482","Posto Flamboyant de Campos Ltda","Rua Caldas Viana, 194/200","Parque Califórnia","BRANCA",2.899,2.824,"FOB","DPPI","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"483","Posto de Combustíveis Gomes e Nogueira Ltda.","Estrada da Cazumba, S/n","5º Distrito","BRANCA",2.9,2.45,"CIF","RAIZEN","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"484","Auto Posto Rei do Petroleo Ltda","Rodovia Br. 101 Km 70,3, S/n Br 101 Km 70,3","Br 101","BRANCA",2.97,2.7,"FOB","PETROBRAS DISTRIBUIDORA S.A.","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
"485","Posto de Gasolina Jardim das Acácias Ltda.","Avenida Tarcísio Miranda, 259","Parque Bela Vista","BRANCA",3.059,2.651,"CIF","RAIZEN","12/09/2016","CAMPOS DOS GOYTACAZES","RJ","Etanol"
