"","HDI.Rank","Country","Ano_2013","Ano_2014","Classificacao","indices_crescimento"
"1",171," Afghanistan",0.464,0.465,"Baixo",0.001
"2",85," Albania",0.732,0.733,"Alto",0.001
"3",83," Algeria",0.734,0.736,"Alto",0.002
"4",34," Andorra",0.844,0.845,"Muito Alto",0.001
"5",149," Angola",0.53,0.532,"Baixo",0.002
"6",58," Antigua and Barbuda",0.781,0.783,"Alto",0.002
"7",40," Argentina",0.833,0.836,"Muito Alto",0.003
"8",85," Armenia",0.731,0.733,"Alto",0.002
"9",2," Australia",0.933,0.935,"Muito Alto",0.002
"10",23," Austria",0.884,0.885,"Muito Alto",0.001
"11",78," Azerbaijan",0.749,0.751,"Alto",0.002
"12",55," Bahamas",0.786,0.79,"Alto",0.004
"13",45," Bahrain",0.821,0.824,"Muito Alto",0.003
"14",142," Bangladesh",0.567,0.57,"Médio",0.003
"15",57," Barbados",0.785,0.785,"Alto",0
"16",50," Belarus",0.796,0.798,"Muito Alto",0.002
"17",21," Belgium",0.888,0.89,"Muito Alto",0.002
"18",101," Belize",0.715,0.715,"Alto",0
"19",166," Benin",0.477,0.48,"Baixo",0.003
"20",132," Bhutan",0.595,0.605,"Médio",0.01
"21",119," Bolivia (Plurinational State of)",0.658,0.662,"Médio",0.004
"22",85," Bosnia and Herzegovina",0.729,0.733,"Alto",0.004
"23",106," Botswana",0.696,0.698,"Médio",0.002
"24",75," Brazil",0.752,0.755,"Alto",0.003
"25",31," Brunei Darussalam",0.852,0.856,"Muito Alto",0.004
"26",59," Bulgaria",0.779,0.782,"Alto",0.003
"27",183," Burkina Faso",0.396,0.402,"Baixo",0.00600000000000001
"28",184," Burundi",0.397,0.4,"Baixo",0.003
"29",122," Cabo Verde",0.643,0.646,"Médio",0.003
"30",143," Cambodia",0.55,0.555,"Médio",0.005
"31",153," Cameroon",0.507,0.512,"Baixo",0.005
"32",9," Canada",0.912,0.913,"Muito Alto",0.001
"33",187," Central African Republic",0.348,0.35,"Baixo",0.002
"34",185," Chad",0.388,0.392,"Baixo",0.004
"35",42," Chile",0.83,0.832,"Muito Alto",0.002
"36",90," China",0.723,0.728,"Alto",0.005
"37",97," Colombia",0.718,0.72,"Alto",0.002
"38",159," Comoros",0.501,0.503,"Baixo",0.002
"39",136," Congo",0.582,0.591,"Médio",0.00900000000000001
"40",176," Congo (Democratic Republic of the)",0.43,0.433,"Baixo",0.003
"41",69," Costa Rica",0.764,0.766,"Alto",0.002
"42",47," Croatia",0.817,0.818,"Muito Alto",0.001
"43",67," Cuba",0.768,0.769,"Alto",0.001
"44",32," Cyprus",0.85,0.85,"Muito Alto",0
"45",28," Czech Republic",0.868,0.87,"Muito Alto",0.002
"46",172," C�te d'Ivoire",0.458,0.462,"Baixo",0.004
"47",4," Denmark",0.923,0.923,"Muito Alto",0
"48",168," Djibouti",0.468,0.47,"Baixo",0.00199999999999995
"49",94," Dominica",0.723,0.724,"Alto",0.001
"50",101," Dominican Republic",0.711,0.715,"Alto",0.004
"51",88," Ecuador",0.73,0.732,"Alto",0.002
"52",108," Egypt",0.689,0.69,"Médio",0.001
"53",116," El Salvador",0.664,0.666,"Médio",0.002
"54",138," Equatorial Guinea",0.584,0.587,"Médio",0.003
"55",186," Eritrea",0.39,0.391,"Baixo",0.001
"56",30," Estonia",0.859,0.861,"Muito Alto",0.002
"57",174," Ethiopia",0.436,0.442,"Baixo",0.00600000000000001
"58",90," Fiji",0.724,0.727,"Alto",0.003
"59",24," Finland",0.882,0.883,"Muito Alto",0.001
"60",22," France",0.887,0.888,"Muito Alto",0.001
"61",110," Gabon",0.679,0.684,"Médio",0.005
"62",175," Gambia",0.442,0.441,"Baixo",-0.001
"63",76," Georgia",0.75,0.754,"Alto",0.004
"64",6," Germany",0.915,0.916,"Muito Alto",0.001
"65",140," Ghana",0.577,0.579,"Médio",0.002
"66",29," Greece",0.863,0.865,"Muito Alto",0.002
"67",79," Grenada",0.742,0.75,"Alto",0.00800000000000001
"68",128," Guatemala",0.626,0.627,"Médio",0.001
"69",182," Guinea",0.411,0.411,"Baixo",0
"70",178," Guinea-Bissau",0.418,0.42,"Baixo",0.002
"71",124," Guyana",0.634,0.636,"Médio",0.002
"72",163," Haiti",0.481,0.483,"Baixo",0.002
"73",131," Honduras",0.604,0.606,"Médio",0.002
"74",12," Hong Kong, China (SAR)",0.908,0.91,"Muito Alto",0.002
"75",44," Hungary",0.825,0.828,"Muito Alto",0.003
"76",16," Iceland",0.899,0.899,"Muito Alto",0
"77",130," India",0.604,0.609,"Médio",0.005
"78",110," Indonesia",0.681,0.684,"Médio",0.003
"79",69," Iran (Islamic Republic of)",0.764,0.766,"Alto",0.002
"80",121," Iraq",0.657,0.654,"Médio",-0.003
"81",6," Ireland",0.912,0.916,"Muito Alto",0.004
"82",18," Israel",0.893,0.894,"Muito Alto",0.001
"83",27," Italy",0.873,0.873,"Muito Alto",0
"84",99," Jamaica",0.717,0.719,"Alto",0.002
"85",20," Japan",0.89,0.891,"Muito Alto",0.001
"86",80," Jordan",0.748,0.748,"Alto",0
"87",56," Kazakhstan",0.785,0.788,"Alto",0.003
"88",145," Kenya",0.544,0.548,"Médio",0.004
"89",137," Kiribati",0.589,0.59,"Médio",0.001
"90",17," Korea (Republic of)",0.895,0.898,"Muito Alto",0.003
"91",48," Kuwait",0.816,0.816,"Muito Alto",0
"92",120," Kyrgyzstan",0.652,0.655,"Médio",0.003
"93",141," Lao People's Democratic Republic",0.57,0.575,"Médio",0.005
"94",46," Latvia",0.816,0.819,"Muito Alto",0.003
"95",67," Lebanon",0.768,0.769,"Alto",0.001
"96",161," Lesotho",0.494,0.497,"Baixo",0.003
